STRATEGY DISCUSSION
============================================================

Best year:  2023  return = +33.15%
Worst year: 2015  return = -27.05%

Yearly Performance:
    Year    Strategy      S&P500      Excess
    2010     +23.81%     +12.78%     +11.03%
    2011      -6.39%      -0.00%      -6.39%
    2012     -15.10%     +13.41%     -28.51%
    2013      +1.67%     +29.60%     -27.93%
    2014     -24.73%     +11.39%     -36.12%
    2015     -27.05%      -0.73%     -26.32%
    2016     +31.41%      +9.54%     +21.87%
    2017      -6.41%     +19.42%     -25.83%
    2018     -25.30%      -6.24%     -19.06%
    2019     +17.41%     +28.88%     -11.47%
    2020     +28.78%     +16.26%     +12.52%
    2021      +8.14%     +26.89%     -18.75%
    2022     -15.84%     -19.44%      +3.61%
    2023     +33.15%     +24.23%      +8.91%

Top 10 Most Profitable Long Holdings (by total weighted return contribution):
    permno   total_contrib     avg_ret  months
     15069       +0.044137   +0.061586      43
     11891       +0.033260   +0.057016      35
     16932       +0.030124   +0.106322      17
     81774       +0.029959   +0.030466      59
     64282       +0.027957   +0.111829      15
     27983       +0.027212   +0.022366      73
     18312       +0.026963   +0.323559       5
     20894       +0.026354   +0.197658       8
     39490       +0.026071   +0.097765      16
     77462       +0.025413   +0.028237      54

Top 10 Most Profitable Short Holdings:
    permno   total_contrib     avg_ret  months
     19599       +0.046775   -0.082545      17
     19455       +0.046350   -0.139050      10
     79977       +0.034200   -0.046636      22
     16595       +0.031730   -0.105766       9
     17684       +0.030914   -0.115927       8
     87078       +0.027487   -0.024988      33
     11999       +0.025769   -0.154614       5
     17977       +0.022154   -0.332305       2
     18184       +0.022017   -0.330250       2
     17907       +0.020867   -0.034778      18
